;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
108;130. West Coast Gourmet Burgers Bordeaux;396 avis;Américaine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3575275-Reviews-West_Coast_Gourmet_Burgers-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine;;130. West Coast Gourmet Burgers Bordeaux;4.5;[44.8398366, -0.5723244];44.8398366;-0.5723244
109;131. Restaurant La Table de Caychac Blanquefort;124 avis;Française, Brasserie gastronomique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g676155-d15662994-Reviews-La_Table_de_Caychac-Blanquefort_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Brasserie gastronomique;131. Restaurant La Table de Caychac Blanquefort;4.5;[44.9287576, -0.6356629];44.9287576;-0.6356629
110;132. La Boîte À Huîtres;439 avis;Française, Fruits de mer & Poisson;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2148935-Reviews-La_Boite_a_Huitres-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Fruits de mer & Poisson;132. La Boîte À Huîtres;4.5;[44.8421429, -0.5728548];44.8421429;-0.5728548
111;133. Mokoji Grill;432 avis;Asiatique, Coréenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3648285-Reviews-Mokoji_Grill-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Coréenne;133. Mokoji Grill;4.5;[44.8385962, -0.5719624];44.8385962;-0.5719624
112;134. Restaurant Un Soir à Shibuya Bordeaux;349 avis;Japonaise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6581788-Reviews-Un_Soir_a_Shibuya-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Asiatique;134. Restaurant Un Soir à Shibuya Bordeaux;4.5;[44.8412142, -0.5726546];44.8412142;-0.5726546
113;135. Bistro Poulette Bordeaux;196 avis;Française, Fruits de mer & Poisson;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3983104-Reviews-Bistro_Poulette-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Fruits de mer & Poisson;135. Bistro Poulette Bordeaux;4.5;[44.8304532, -0.5677826490341753];44.8304532;-0.5677826490341753
114;136. Blind Bordeaux;103 avis;Espagnole, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21328049-Reviews-Blind-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Espagnole; Saine;136. Blind Bordeaux;4.5;[44.8409768, -0.5818394];44.8409768;-0.5818394
115;137. Restaurant Le Chien de Pavlov Bordeaux;850 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6754355-Reviews-Le_Chien_de_Pavlov-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;137. Restaurant Le Chien de Pavlov Bordeaux;4.5;[44.8402464, -0.5728023];44.8402464;-0.5728023
116;138. Locadillos;248 avis;Espagnole, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7986157-Reviews-Locadillos-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Espagnole; Européenne;138. Locadillos;4.5;[44.8351348, -0.5742091];44.8351348;-0.5742091
117;139. Restaurant L'Atelier 115 Pessac;352 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g196515-d6414403-Reviews-L_Atelier_115-Pessac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;139. Restaurant L'Atelier 115 Pessac;4.5;[44.8060373, -0.647665];44.8060373;-0.647665
