;Restaurant;Avis;type_cuisine;fourchette_prix;link;type_cuisine_1;type_cuisine_2;restaurants;note;localisation;lat;lon
158;186. Restaurant Asiatique Dozo Mérignac;280 avis;Chinoise, Japonaise;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d1334890-Reviews-Dozo_EURL-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Japonaise;186. Restaurant Asiatique Dozo Mérignac;4.5;[44.8412157, -0.6580252];44.8412157;-0.6580252
159;187. Zéphirine;50 avis;Française, Brasserie gastronomique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23748822-Reviews-Zephirine-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Brasserie gastronomique;187. Zéphirine;5.0;[44.8419175, -0.5827356];44.8419175;-0.5827356
160;188. Bibibap;320 avis;Asiatique, Coréenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12431322-Reviews-Bibibap-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Coréenne;188. Bibibap;4.0;[44.8389393, -0.5719083];44.8389393;-0.5719083
161;189. Yeast Bar à Pizzas Bordeaux;63 avis;Italienne, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15121041-Reviews-Yeast_Bar_a_Pizzas-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Française;189. Yeast Bar à Pizzas Bordeaux;5.0;[44.8350912, -0.5740789];44.8350912;-0.5740789
162;190. Restaurant L'Embarcadère Bordeaux;879 avis;Française, Fruits de mer & Poisson;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2201118-Reviews-L_Embarcadere-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Fruits de mer & Poisson;190. Restaurant L'Embarcadère Bordeaux;4.0;[44.840265, -0.5719871];44.840265;-0.5719871
163;191. Restaurant Baud et Millet Bordeaux;638 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d817721-Reviews-Baud_et_Millet-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;191. Restaurant Baud et Millet Bordeaux;4.0;[44.8447416, -0.579276];44.8447416;-0.579276
164;193. Au Nouveau Monde;275 avis;Canadienne, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d12819168-Reviews-Au_Nouveau_Monde-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Canadienne; Saine;193. Au Nouveau Monde;4.5;[44.8358349, -0.5693102];44.8358349;-0.5693102
165;194. Restaurant Café Japonais Bordeaux Saint Pierre;652 avis;Japonaise, Sushi;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d786030-Reviews-Cafe_Japonais-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise; Sushi;194. Restaurant Café Japonais Bordeaux Saint Pierre;4.0;[44.8389182, -0.5731494];44.8389182;-0.5731494
166;195. Le Grill Bordelais;349 avis;Française, Steakhouse;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2060361-Reviews-Le_Grill_Bordelais-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Steakhouse;195. Le Grill Bordelais;4.0;[44.8414811, -0.5736073];44.8414811;-0.5736073
167;197. Brasserie Terres Neuves Bègles;237 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d8799290-Reviews-Brasserie_Terres_Neuves-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;197. Brasserie Terres Neuves Bègles;4.5;[44.815432, -0.5501743274576458];44.815432;-0.5501743274576458
168;198. La Maison de Margot Bordeaux;59 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17324430-Reviews-La_Maison_De_Margot-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;198. La Maison de Margot Bordeaux;5.0;[44.8387964, -0.573252];44.8387964;-0.573252
169;199. Terre Emeraude;49 avis;Latino, Colombienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d20158071-Reviews-Terre_Emeraude-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Latino; Colombienne;199. Terre Emeraude;5.0;[44.8348013, -0.5773853];44.8348013;-0.5773853
170;200. Kokomo Cantine Américaine Bordeaux;647 avis;Américaine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d11995636-Reviews-Kokomo_Cantine_Americaine-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine;;200. Kokomo Cantine Américaine Bordeaux;4.0;[44.8369027, -0.5718312];44.8369027;-0.5718312
171;201. Deli'Zen;52 avis;Française, Sri lankaise;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g196515-d20281307-Reviews-Deli_Zen-Pessac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Sri lankaise;201. Deli'Zen;5.0;[44.806522, -0.6325841];44.806522;-0.6325841
172;202. Restaurant L'Autre Petit Bois Bordeaux;1 031 avis;Française, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3443321-Reviews-L_autre_petit_bois-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;202. Restaurant L'Autre Petit Bois Bordeaux;4.0;[44.8408512, -0.5723389];44.8408512;-0.5723389
173;203. Café du Théâtre Bordeaux;196 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1224819-Reviews-Cafe_du_Theatre-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;203. Café du Théâtre Bordeaux;4.5;[44.8313962, -0.5611884];44.8313962;-0.5611884
174;204. Restaurant El Nacional Bordeaux;544 avis;Latino, Argentine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2541668-Reviews-El_Nacional-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Latino; Argentine;204. Restaurant El Nacional Bordeaux;4.0;[44.8526388, -0.5726488];44.8526388;-0.5726488
175;206. Restaurant Le 9 O Plat Bordeaux;112 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8812531-Reviews-Le_9_O_Plat-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;206. Restaurant Le 9 O Plat Bordeaux;4.5;[44.8551209, -0.572402];44.8551209;-0.572402
176;207. Sicilia in Bocca;337 avis;Italienne, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d797738-Reviews-Sicilia_in_Bocca-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Méditerranéenne;207. Sicilia in Bocca;4.0;[44.8324051, -0.5982483703552182];44.8324051;-0.5982483703552182
177;208. Restaurant La Causerie des Chartrons Bordeaux;134 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4601864-Reviews-La_Causerie_des_Chartrons-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;208. Restaurant La Causerie des Chartrons Bordeaux;4.5;[44.855655, -0.5744682];44.855655;-0.5744682
178;212. Sens Bistrot Contemporain Bordeaux;64 avis;Française, Moderne;€€€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d21362604-Reviews-Sens_Bistrot_Contemporain-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Moderne;212. Sens Bistrot Contemporain Bordeaux;5.0;[44.8420576, -0.5990262];44.8420576;-0.5990262
179;214. Aphrodite;427 avis;Grecque, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6616752-Reviews-Aphrodite-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Grecque; Saine;214. Aphrodite;4.0;[44.8399313, -0.5697782];44.8399313;-0.5697782
180;215. DS Café Bordeaux;149 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17802339-Reviews-DS_Cafe_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;215. DS Café Bordeaux;4.5;[44.84087, -0.5717762];44.84087;-0.5717762
181;216. Le Bistro du Musée;545 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2062027-Reviews-Le_Bistro_du_Musee-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;216. Le Bistro du Musée;4.0;[44.837039, -0.57855];44.837039;-0.57855
182;217. Restaurant Cochon Volant Bordeaux;564 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d799937-Reviews-Cochon_Volant-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;217. Restaurant Cochon Volant Bordeaux;4.0;[44.8298478, -0.5672437];44.8298478;-0.5672437
183;218. La Ligne Rouge;216 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3737074-Reviews-La_Ligne_Rouge-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;218. La Ligne Rouge;4.5;[44.8391349, -0.5679815];44.8391349;-0.5679815
184;219. Phénix d'Or;291 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1322566-Reviews-Phenix_d_Or-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;219. Phénix d'Or;4.0;[44.836886, -0.5797777];44.836886;-0.5797777
185;220. The Frog & Rosbif Bordeaux;245 avis;Américaine, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1224503-Reviews-The_Frog_Rosbif-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Américaine; Bar;220. The Frog & Rosbif Bordeaux;4.0;[44.8377982, -0.5680555];44.8377982;-0.5680555
186;221. Restaurant Que Toi Bordeaux;148 avis;Asiatique, Vietnamienne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8605501-Reviews-Que_Toi-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Asiatique; Vietnamienne;221. Restaurant Que Toi Bordeaux;4.5;[44.8378837, -0.570454];44.8378837;-0.570454
187;222. Le Bistrot du Fromager Bordeaux;182 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2308563-Reviews-Le_Bistrot_du_Fromager-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;222. Le Bistrot du Fromager Bordeaux;4.5;[44.8532102, -0.5674076];44.8532102;-0.5674076
188;223. Restaurant Nom d'Une Crêpe Bordeaux;939 avis;Française, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2446031-Reviews-Nom_d_Une_Crepe-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;223. Restaurant Nom d'Une Crêpe Bordeaux;4.0;[44.8412443, -0.5720269];44.8412443;-0.5720269
189;224. La vague gourmande;127 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1833139-d14141619-Reviews-La_Vague_Gourmande-Saint_Medard_en_Jalles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;224. La vague gourmande;4.5;[44.866318, -0.723525];44.866318;-0.723525
190;225. Les Moules du Cabanon;287 avis;Française, Fruits de mer & Poisson;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d13165510-Reviews-Les_Moules_du_Cabanon-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Fruits de mer & Poisson;225. Les Moules du Cabanon;4.0;[44.8393736, -0.5685996];44.8393736;-0.5685996
191;226. Le Bocal de Tatie Josee;237 avis;Française, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1329311-Reviews-Le_Bocal_de_Tatie_Josee-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;226. Le Bocal de Tatie Josee;4.0;[44.8385362, -0.5787897];44.8385362;-0.5787897
192;227. LBS Gradignan;79 avis;Française, Bar;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207337-d9596176-Reviews-LBS_Gradignan-Gradignan_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Bar;227. LBS Gradignan;4.5;[44.7741362, -0.6129936];44.7741362;-0.6129936
193;228. Restaurant L'Orchidée de Chine Mérignac;232 avis;Chinoise, Asiatique;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207338-d2093134-Reviews-L_Orchidee_de_Chine-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;228. Restaurant L'Orchidée de Chine Mérignac;4.5;[44.8414147, -0.6448607];44.8414147;-0.6448607
194;229. Le Chai d'Ornon;239 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1025628-d4877730-Reviews-Le_Chai_d_Ornon-Villenave_D_ornon_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;229. Le Chai d'Ornon;4.5;[44.7733563, -0.5283382];44.7733563;-0.5283382
195;230. Le Bistrot d'Aurélie Bordeaux;979 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5888123-Reviews-Le_Bistrot_d_Aurelie-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;230. Le Bistrot d'Aurélie Bordeaux;4.0;[44.8412509, -0.5724522];44.8412509;-0.5724522
196;231. Restaurant Seang Thai Bordeaux;248 avis;Chinoise, Asiatique;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3432818-Reviews-Seang_Thai-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Chinoise; Asiatique;231. Restaurant Seang Thai Bordeaux;4.5;[44.8413055, -0.5718196];44.8413055;-0.5718196
197;232. Raisin de Plus - Le Bar à Vin Sauce Végétale Bordeaux;49 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d20059919-Reviews-Raisin_de_Plus_Bar_a_Vin_Vegan-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;232. Raisin de Plus - Le Bar à Vin Sauce Végétale Bordeaux;5.0;[44.835304, -0.565226];44.835304;-0.565226
198;233. Cantina Lino;62 avis;Italienne, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17425654-Reviews-Cantina_Lino-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Européenne;233. Cantina Lino;4.5;[44.8480781, -0.5969593];44.8480781;-0.5969593
199;234. Bistro Mimi;284 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4171014-Reviews-Bistro_Mimi-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;234. Bistro Mimi;4.0;[44.8447528, -0.5792085];44.8447528;-0.5792085
200;235. Poggetti;188 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d11317170-Reviews-Poggetti-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;235. Poggetti;4.5;[44.8326221, -0.5668006];44.8326221;-0.5668006
201;236. Le Piccolo;267 avis;Italienne, Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g226847-d1199517-Reviews-Le_Piccolo-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Française;236. Le Piccolo;4.0;[44.8082856, -0.5737314];44.8082856;-0.5737314
202;237. Gustave - Creative Street-food;36 avis;Française, Restauration rapide;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d24194154-Reviews-Gustave_Creative_Street_food-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Restauration rapide;237. Gustave - Creative Street-food;5.0;[44.845619, -0.57852];44.845619;-0.57852
203;238. del'Ice n'Coffee Bordeaux;100 avis;NaN;NaN;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4480669-Reviews-Del_ice_n_coffee-Bordeaux_Gironde_Nouvelle_Aquitaine.html;NaN;;238. del'Ice n'Coffee Bordeaux;4.5;[44.8391349, -0.5679815];44.8391349;-0.5679815
204;239. Masaniello - Pizzeria & Cucina;1 053 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d2535021-Reviews-Masaniello_Pizzeria_Cucina-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;239. Masaniello - Pizzeria & Cucina;4.0;[44.8390683, -0.5713619];44.8390683;-0.5713619
205;240. Restaurant La Cagette Bordeaux;397 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3626338-Reviews-La_Cagette-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;240. Restaurant La Cagette Bordeaux;4.0;[44.8382158, -0.5694884];44.8382158;-0.5694884
206;241. Big Bistrot Girondin;143 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d17424242-Reviews-Big_Bistrot_Girondin-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;241. Big Bistrot Girondin;4.5;[44.8413295, -0.5719895];44.8413295;-0.5719895
207;243. Restaurant Libanais Fleur de Cèdre Bordeaux;200 avis;Libanaise, Méditerranéenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d4063850-Reviews-Fleur_de_Cedre-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Libanaise; Méditerranéenne;243. Restaurant Libanais Fleur de Cèdre Bordeaux;4.5;[44.8340352, -0.5892943];44.8340352;-0.5892943
208;244. Restaurant Chez Jean;1 375 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d809368-Reviews-Restaurant_Chez_Jean-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;244. Restaurant Chez Jean;4.0;[44.840752, -0.5717389];44.840752;-0.5717389
209;245. Restaurant Hortus Bordeaux;108 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14945255-Reviews-Hortus-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;245. Restaurant Hortus Bordeaux;4.5;[44.8513913, -0.5738378];44.8513913;-0.5738378
210;247. L'Echoppe;238 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1025628-d2200815-Reviews-L_Echoppe-Villenave_D_ornon_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;247. L'Echoppe;4.0;[44.7795776, -0.5704472];44.7795776;-0.5704472
211;249. Restaurant Grill L'Agneau à la Braise Bordeaux;380 avis;Française, Barbecue/Grillades;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1017908-Reviews-L_agneau_a_la_braise-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Barbecue/Grillades;249. Restaurant Grill L'Agneau à la Braise Bordeaux;4.0;[44.839829, -0.5720673];44.839829;-0.5720673
212;250. Very Table Bordeaux;102 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d5798511-Reviews-Very_Table-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;250. Very Table Bordeaux;4.5;[44.8414762, -0.5838315];44.8414762;-0.5838315
213;251. Restaurant Brunch Oriental La Cour de Nana Bordeaux;45 avis;Saine, Moyen-Orient;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19989482-Reviews-La_Cour_de_Nana-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Saine; Moyen-Orient;251. Restaurant Brunch Oriental La Cour de Nana Bordeaux;5.0;[44.8353993, -0.5697677];44.8353993;-0.5697677
214;252. Restaurant Le Parlement des Graves Bordeaux;731 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1576956-Reviews-Le_Parlement_des_Graves-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;252. Restaurant Le Parlement des Graves Bordeaux;4.0;[44.8406312, -0.5728927];44.8406312;-0.5728927
215;253. Kapital Kebab Bordeaux;78 avis;Restauration rapide, Turque;€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10457463-Reviews-Kapital_kebab-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Restauration rapide; Turque;253. Kapital Kebab Bordeaux;4.5;[44.8405089, -0.573373];44.8405089;-0.573373
216;254. Restaurant La Meule du Berger Bordeaux;181 avis;Française, Barbecue/Grillades;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14950108-Reviews-La_Meule_du_Berger-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Barbecue/Grillades;254. Restaurant La Meule du Berger Bordeaux;4.5;[44.8412727, -0.5719222];44.8412727;-0.5719222
217;255. Le Carreau;564 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d7366427-Reviews-Le_Carreau-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;255. Le Carreau;4.0;[44.839422, -0.5719517];44.839422;-0.5719517
218;256. La Ptite Adresse;230 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g1914685-d7280387-Reviews-La_Ptite_Adresse-Ambares_et_Lagrave_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;256. La Ptite Adresse;4.0;[44.9181605, -0.4980042];44.9181605;-0.4980042
219;257. Restaurant Ben Thanh;125 avis;Vietnamienne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g662282-d8052600-Reviews-Restaurant_Ben_Thanh-Eysines_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Vietnamienne;;257. Restaurant Ben Thanh;4.5;[44.8816675, -0.6296449];44.8816675;-0.6296449
220;258. Twist'n'Crêpes;237 avis;Française, Européenne;€;https://www.tripadvisor.fr/Restaurant_Review-g1055933-d4008284-Reviews-Twist_n_Crepes-Talence_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;258. Twist'n'Crêpes;4.0;[44.8103016, -0.5914961];44.8103016;-0.5914961
221;259. Restaurant Kitchen Garden Bordeaux;281 avis;Européenne, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d10794674-Reviews-Kitchen_Garden-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Européenne; Saine;259. Restaurant Kitchen Garden Bordeaux;4.0;[44.8372813, -0.5705888];44.8372813;-0.5705888
222;260. The Wine Bar Bordeaux;315 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3967450-Reviews-The_Wine_Bar-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;260. The Wine Bar Bordeaux;4.5;[44.843053499999996, -0.5797174206521732];44.843053499999996;-0.5797174206521732
223;261. Le Rajwal Bordeaux;625 avis;Indienne, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d3438711-Reviews-Le_Rajwal-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Indienne; Saine;261. Le Rajwal Bordeaux;4.0;[44.8403277, -0.5706198];44.8403277;-0.5706198
224;262. Peter Coffee Shop;60 avis;Française, Café;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19112682-Reviews-Peter_Coffee_Shop-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Café;262. Peter Coffee Shop;4.5;[44.8355237, -0.5717167];44.8355237;-0.5717167
225;263. Vin Wè Bordeaux;128 avis;Caraïbes, Cajun & Créole;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d8753756-Reviews-Vin_We-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Caraïbes; Cajun & Créole;263. Vin Wè Bordeaux;4.5;[44.8411721, -0.5826411];44.8411721;-0.5826411
226;264. Le Bistro du Sommelier Bordeaux;376 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1483369-Reviews-Le_Bistro_du_Sommelier-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;264. Le Bistro du Sommelier Bordeaux;4.0;[44.8388914, -0.5888883];44.8388914;-0.5888883
227;265. Restaurant Le 17.45 Bordeaux Saint James;62 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d19411984-Reviews-Le_17_45_Bordeaux_Saint_James-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;265. Restaurant Le 17.45 Bordeaux Saint James;5.0;[44.8363762, -0.5715673];44.8363762;-0.5715673
228;266. Bella Ciao Bordeaux;106 avis;Italienne, Pizza;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15218414-Reviews-Bella_Ciao_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Italienne; Pizza;266. Bella Ciao Bordeaux;4.5;[44.8314382, -0.5618116];44.8314382;-0.5618116
229;267. Brasserie Le Clemenceau Bordeaux;161 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d20978846-Reviews-Le_Clemenceau-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;267. Brasserie Le Clemenceau Bordeaux;4.5;[44.8418642, -0.5802202];44.8418642;-0.5802202
230;268. Restaurant Japonais Ciluya Bordeaux;81 avis;Japonaise;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d9607277-Reviews-Ciluya-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Japonaise;;268. Restaurant Japonais Ciluya Bordeaux;4.5;[44.8254113, -0.5896191];44.8254113;-0.5896191
231;269. Le Bistrot du Picador Bordeaux;215 avis;Méditerranéenne, Espagnole;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d1224800-Reviews-Le_Bistrot_du_Picador-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Méditerranéenne; Espagnole;269. Le Bistrot du Picador Bordeaux;4.5;[44.842677, -0.5806258];44.842677;-0.5806258
232;270. Mazal;122 avis;Française, Saine;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d23445142-Reviews-Mazal-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Saine;270. Mazal;4.5;[44.8408988, -0.5706935];44.8408988;-0.5706935
233;271. Ô QG;113 avis;Française, Steakhouse;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d14059648-Reviews-O_QG-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Steakhouse;271. Ô QG;4.5;[44.827337, -0.5513213];44.827337;-0.5513213
234;272. Brasserie Bar Tapas Vins L'ANNEXE Bordeaux;134 avis;Française;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d6983751-Reviews-L_ANNEXE-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française;;272. Brasserie Bar Tapas Vins L'ANNEXE Bordeaux;4.5;[44.8588836, -0.5571244];44.8588836;-0.5571244
235;273. Le 1925;254 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g187079-d15088099-Reviews-Le_1925-Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;273. Le 1925;4.0;[44.8446076, -0.5754471];44.8446076;-0.5754471
236;274. K2 Restaurant Gradignan;599 avis;Française, Européenne;€€ - €€€;https://www.tripadvisor.fr/Restaurant_Review-g207337-d2044570-Reviews-K2_Restaurant-Gradignan_Bordeaux_Gironde_Nouvelle_Aquitaine.html;Française; Européenne;274. K2 Restaurant Gradignan;4.0;[44.757391999999996, -0.6261400900581291];44.757391999999996;-0.6261400900581291
